Date,Open,High,Low,Close,Adj_Close,Volume
Jun 08 2021,	13823.50,	13916.75,	13742.00,	13811.50,	13811.50,	746795
Jun 09 2021,	13813.00,	13904.00,	13803.50,	13814.25,	13814.25,	598846
Jun 10 2021,	13815.75,	13976.50,	13726.50,	13959.75,	13959.75,	702931
Jun 11 2021,	13974.50,	13998.50,	13931.75,	13994.25,	13994.25,	258315
Jun 14 2021,	13996.50,	14133.50,	13965.00,	14124.75,	14124.75,	157769
Jun 15 2021,	14121.25,	14163.00,	14009.25,	14030.25,	14030.25,	127209
Jun 16 2021,	14047.75,	14104.00,	13834.00,	13981.25,	13981.25,	109183
Jun 17 2021,	13948.50,	14213.00,	13850.50,	14165.50,	14165.50,	87366
Jun 18 2021,	14171.25,	14213.25,	14064.75,	14107.43,	14107.43,	841121
Jun 21 2021,	14022.25,	14144.00,	13958.75,	14130.00,	14130.00,	788483
Jun 22 2021,	14137.00,	14279.25,	14066.25,	14258.25,	14258.25,	621790
Jun 23 2021,	14273.50,	14316.75,	14231.75,	14263.00,	14263.00,	587636
Jun 24 2021,	14274.25,	14422.00,	14263.00,	14354.25,	14354.25,	605975
Jun 25 2021,	14364.75,	14394.25,	14313.25,	14339.00,	14339.00,	594197
Jun 28 2021,	14347.75,	14519.50,	14333.25,	14512.50,	14512.50,	471785
Jun 29 2021,	14506.75,	14585.00,	14468.75,	14563.00,	14563.00,	542004
Jun 30 2021,	14584.00,	14599.00,	14518.00,	14549.00,	14549.00,	550880
Jul 01 2021,	14558.00,	14606.50,	14470.75,	14548.50,	14548.50,	598057
Jul 02 2021,	14542.25,	14728.75,	14513.50,	14713.75,	14713.75,	543434
Jul 06 2021,	14702.25,	14789.75,	14625.25,	14775.50,	14775.50,	838525
Jul 07 2021,	14758.50,	14883.75,	14726.25,	14802.25,	14802.25,	844793
Jul 08 2021,	14811.75,	14821.75,	14540.00,	14712.25,	14712.25,	1001374
Jul 09 2021,	14712.75,	14832.00,	14640.50,	14810.50,	14810.50,	694222
Jul 12 2021,	14823.75,	14888.75,	14785.25,	14869.25,	14869.25,	563544
Jul 13 2021,	14880.00,	14994.50,	14794.25,	14865.00,	14865.00,	824554
Jul 14 2021,	14868.00,	14996.00,	14841.00,	14891.75,	14891.75,	817428
Jul 15 2021,	14896.25,	14962.50,	14708.25,	14787.50,	14787.50,	1017598
Jul 16 2021,	14778.00,	14869.50,	14657.25,	14670.50,	14670.50,	893209
Jul 19 2021,	14675.75,	14683.25,	14444.25,	14540.75,	14540.75,	1324573
Jul 20 2021,	14593.50,	14782.25,	14516.75,	14722.75,	14722.75,	869753
Jul 21 2021,	14729.50,	14841.75,	14666.75,	14827.75,	14827.75,	778237
Jul 22 2021,	14838.00,	14982.75,	14823.25,	14928.50,	14928.50,	859820
Jul 23 2021,	14978.25,	15117.50,	14934.25,	15098.00,	15098.00,	806795
Jul 26 2021,	15098.00,	15134.25,	15038.75,	15117.75,	15117.75,	685147
Jul 27 2021,	15125.00,	15131.50,	14774.50,	14947.75,	14947.75,	1000863
Jul 28 2021,	14876.25,	15074.75,	14866.50,	15011.50,	15011.50,	1012173
Jul 29 2021,	14984.25,	15084.00,	14904.25,	15037.75,	15037.75,	718643
Jul 30 2021,	14910.00,	14979.75,	14811.50,	14955.75,	14955.75,	820333
Aug 02 2021,	14972.25,	15056.00,	14932.50,	14952.75,	14952.75,	743820
Aug 03 2021,	14963.75,	15050.00,	14848.75,	15046.25,	15046.25,	886336
Aug 04 2021,	15039.00,	15108.00,	14996.75,	15073.50,	15073.50,	739921
Aug 05 2021,	15081.00,	15172.25,	15069.50,	15167.75,	15167.75,	554624
Aug 06 2021,	15168.00,	15170.00,	15047.50,	15095.50,	15095.50,	697234
Aug 09 2021,	15091.25,	15146.00,	15003.50,	15125.25,	15125.25,	632672
Aug 10 2021,	15127.75,	15157.25,	14994.75,	15044.50,	15044.50,	754586
Aug 11 2021,	15045.25,	15119.00,	14963.00,	15019.50,	15019.50,	828334
Aug 12 2021,	15007.75,	15090.50,	14941.00,	15078.50,	15078.50,	640693
Aug 13 2021,	15077.00,	15141.50,	15055.25,	15125.75,	15125.75,	463515
Aug 16 2021,	15120.00,	15139.00,	14917.00,	15134.00,	15134.00,	766071
Aug 17 2021,	15133.75,	15134.75,	14897.00,	14997.50,	14997.50,	958229
Aug 18 2021,	14971.00,	15037.00,	14806.50,	14849.25,	14849.25,	894716
Aug 19 2021,	14840.75,	14999.00,	14711.00,	14928.00,	14928.00,	1144987
Aug 20 2021,	14943.00,	15100.00,	14851.75,	15086.75,	15086.75,	720762
Aug 23 2021,	15092.25,	15338.00,	15087.50,	15304.50,	15304.50,	661257
Aug 24 2021,	15327.50,	15384.00,	15309.25,	15355.50,	15355.50,	540655
Aug 25 2021,	15361.25,	15397.00,	15333.00,	15364.25,	15364.25,	579467
Aug 26 2021,	15367.00,	15368.50,	15255.50,	15274.75,	15274.75,	781142
Aug 27 2021,	15286.50,	15443.75,	15265.50,	15426.50,	15426.50,	674243
Aug 30 2021,	15431.75,	15617.75,	15420.00,	15597.50,	15597.50,	559226
Aug 31 2021,	15603.75,	15677.25,	15514.00,	15582.50,	15582.50,	733753
Sep 01 2021,	15601.25,	15698.00,	15577.75,	15609.25,	15609.25,	633192
Sep 02 2021,	15609.00,	15682.25,	15551.25,	15601.00,	15601.00,	682127
Sep 03 2021,	15599.25,	15677.50,	15552.00,	15651.50,	15651.50,	653134
Sep 07 2021,	15653.75,	15708.75,	15607.00,	15674.75,	15674.75,	772239
Sep 08 2021,	15671.00,	15691.00,	15523.50,	15620.00,	15620.00,	862172
Sep 09 2021,	15610.00,	15676.50,	15545.75,	15558.75,	15558.75,	803545
Sep 10 2021,	15561.25,	15667.50,	15433.50,	15441.50,	15441.50,	440573
Sep 13 2021,	15449.75,	15565.00,	15350.50,	15436.75,	15436.75,	322877
Sep 14 2021,	15452.75,	15530.75,	15352.25,	15387.00,	15387.00,	226677
Sep 15 2021,	15395.50,	15522.00,	15314.50,	15504.00,	15504.00,	158739
Sep 16 2021,	15510.50,	15542.00,	15368.75,	15517.75,	15517.75,	124993
Sep 17 2021,	15505.50,	15541.50,	15474.00,	15486.67,	15486.67,	860262
Sep 20 2021,	15285.00,	15338.00,	14807.50,	15009.50,	15009.50,	1204698
