date-1,time-1,open-1,high-1,low-1,close-1,volume-1,time-2,open-2,high-2,low-2,close-2,volume-2,time-3,open-3,high-3,low-3,close-3,volume-3,time-4,open-4,high-4,low-4,close-4,volume-4,time-5,open-5,high-5,low-5,close-5,volume-5,time-6,open-6,high-6,low-6,close-6,volume-6,time-7,open-7,high-7,low-7,close-7,volume-7,time-8,open-8,high-8,low-8,close-8,volume-8,time-9,open-9,high-9,low-9,close-9,volume-9,time-10,open-10,high-10,low-10,close-10,volume-10,time-11,open-11,high-11,low-11,close-11,volume-11,time-12,open-12,high-12,low-12,close-12,volume-12,outcome,b_outcome
12/1/2021,9:00,0.5,-0.5,-2.5,-2.0,1420,9:15,-2.0,-1.75,-12.5,-5.75,49469,9:30,-5.5,-2.25,4.25,3.75,-13399,9:45,3.75,13.25,8.0,11.5,7415,10:00,11.5,1.75,7.75,-3.5,-8746,10:15,-3.25,-2.75,-10.0,1.5,5539,10:30,1.25,6.75,11.25,10.5,-9306,10:45,10.5,8.0,8.0,8.25,-4858,11:00,8.5,3.25,9.25,-0.25,-8292,11:15,-0.5,-1.5,-3.25,-4.25,5890,11:30,-4.0,-6.0,-15.25,-11.5,14403,11:45,-11.75,-5.5,1.75,6.25,-13363,-75.75,S
12/2/2021,9:00,-5,-7.25,2.25,-1.75,-5157,9:15,-1.75,31.75,-1.75,32.5,67822,9:30,32.5,16.25,31.75,19.25,2926,9:45,19.0,5.25,6.0,-13,4085,10:00,-12.5,-11.0,-4.5,4,-16960,10:15,4.0,2.0,-14.25,-27.75,-2100,10:30,-27.75,-5.5,-2.25,27.25,-12666,10:45,27.0,11.25,22.5,7.5,-7746,11:00,7.25,7.5,14.25,6.5,-2823,11:15,6.75,-2.75,-12.75,-12.25,9905,11:30,-12.25,4.75,3.0,16.0,-15982,11:45,16.0,8,16.5,11.75,1696,-14,S
12/3/2021,9:00,3,-2.25,2,-1,-2256,9:15,-1,9.5,-14.5,-15.25,75314,9:30,-15,-20.75,-22.25,-22.5,-12869,9:45,-22.75,-21.25,-15.5,-14.5,6140,10:00,-14.25,-2.25,4.0,16.5,-12739,10:15,16,-3.25,-16.25,-32.25,6620,10:30,-32.25,-25.75,-7.0,-4,-1825,10:45,-3.75,-2.25,-5.25,2.75,-8198,11:00,2.5,5.5,-0.25,8.75,-8164,11:15,9.0,2.25,2.75,-16.0,-2435,11:30,-16.25,-13.0,-9.75,-10.25,-133,11:45,-10.25,-10.75,-3,3.5,-10092,17.25,L
12/6/2021,9:00,4.0,3.75,2.25,2.75,1614,9:15,3.25,2.25,6.5,3.0,2036,9:30,2.75,5.5,-21.75,-2.0,111511,9:45,-2.0,-3.5,13.0,3.0,-14644,10:00,3.0,14.75,-1.0,14.75,-486,10:15,15.0,4.5,27.25,4.0,-39769,10:30,4.0,1.0,-6.0,-11.0,-3794,10:45,-11.25,0.0,-0.75,13.25,-9201,11:00,13.0,1.0,0.0,-14.75,-3575,11:15,-14.75,-6.75,-3.0,6.5,-3395,11:30,6.75,4.5,4.0,7.25,-7689,11:45,7.25,-0.25,0.75,-8.5,-6838,2.25,L
12/7/2021,9:00,-4.5,-3.5,-2.0,-1.5,1143,9:15,-1.5,0.0,-2.25,2.0,4024,9:30,2.25,14.25,4.75,15.5,66196,9:45,15.5,13.25,15.0,13,-16114,10:00,13.0,7.25,11.0,7.5,-6482,10:15,7.25,1.5,5.25,-4.5,-15963,10:30,-4.5,2.75,0.5,8.25,-7897,10:45,8,3.75,6.25,1.25,-4108,11:00,1.5,1.0,0.0,-3.0,717,11:15,-2.75,-4.25,-1.0,1.25,-5951,11:30,1.25,1.75,-0.25,0.75,763,11:45,0.5,-2,0.5,-2.5,-6538,-17.75,S
12/8/2021,9:00,-0.5,-0.5,-2.25,-3.5,1980,9:15,-3.25,-1.75,0.0,1.5,969,9:30,1.5,2.0,-9.5,-2.75,54201,9:45,-3.0,3.25,4.75,-2.5,1629,10:00,-2.5,-5.5,-1.75,-0.25,-6185,10:15,-0.25,0.5,-4.5,-6.75,-13527,10:30,-6.75,-5.0,0.5,2.25,429,10:45,2.25,-4.5,-4.75,-6.0,-3264,11:00,-6.0,-1.5,-1.25,5.25,-13990,11:15,5.75,2.25,4.75,3.25,-9427,11:30,2.75,2.0,1.5,-2.25,5237,11:45,-2.0,1.75,2.25,4.25,-3157,16.88,L
12/9/2021,9:00,-0.25,1.75,1.25,2.5,-100,9:15,2.5,1.0,1.0,-0.75,2120,9:30,-0.75,6.75,-1.25,6.0,44095,9:45,6.0,-0.75,-1.0,-4.5,-1061,10:00,-4.5,-1.75,1.5,0.75,-10718,10:15,1,-1.0,-4.75,-8.0,-3691,10:30,-8.25,-8.25,-4.25,2.75,6409,10:45,2.75,4.25,7,4.25,-15977,11:00,4.0,0.25,0.5,-3.25,-1350,11:15,-3.0,3.25,-2.5,6.75,1877,11:30,3.75,2,6.75,-2.5,-7253,11:45,0.25,-5.25,-5.0,-3.75,-1249,-11.75,S
12/10/2021,9:00,-2.0,-1,-1.25,-1.25,-1204,9:15,-1.25,-2.5,-2.5,-4.25,-288,9:30,-3.75,4.25,-2.0,0.25,19487,9:45,0.0,-6.25,-8.25,-8,-4314,10:00,-8.75,-3.75,1.0,2,-5203,10:15,2.5,4.5,1.5,8,-2220,10:30,8,0.75,-6.75,-14.25,3367,10:45,-14.75,-15.25,-3.75,0.0,-2926,11:00,0.5,0.25,-8.5,-9.0,4581,11:15,-9.75,-0.75,3.5,9.0,-6547,11:30,9.75,4.75,7.0,5.0,-1599,11:45,5.0,4.25,8.5,2.25,310,21.93,L
12/13/2021,9:00,-2.25,-3.25,-3.0,-2.5,980,9:15,-2.75,-2.25,-8.75,-9,1391,9:30,-9,-6.75,-11.5,-6.25,11022,9:45,-6.25,-8.5,-6.5,-8.75,-2909,10:00,-9.0,-3.5,-1.5,4,-3413,10:15,4.5,0.25,-9.0,-13.25,613,10:30,-14.0,-11.5,-1.0,-2.25,-2682,10:45,-1.5,2.5,2.25,2.0,-811,11:00,1.5,-4.75,-4.5,-5.5,1106,11:15,-5.0,-4.5,-2.75,-2.25,-1076,11:30,-2.5,0,0.25,2.75,418,11:45,2.75,-1,-0.5,0.25,-1678,-10.25,S
12/14/2021,9:00,-0.75,0.0,-4.5,-1,983,9:15,-0.75,-3.0,-0.25,-5.5,-223,9:30,-5.75,17.5,-1.25,23.75,10826,9:45,23.75,3.25,14.5,-9.75,-2307,10:00,-9.5,-10.0,-11.75,-10.75,-5865,10:15,-10.75,-0.5,-0.75,9.0,71,10:30,8.5,-3.75,-3.5,-13.25,-1083,10:45,-12.75,-12.0,-15.75,-13.0,998,11:00,-13.0,-11.0,-1.0,-4.0,108,11:15,-4.5,1.0,1.75,7.5,-1894,11:30,8.25,0.0,0,-6.25,-1007,11:45,-7.25,-4.0,-5.25,-3.75,95,21.5,L
12/15/2021,9:00,0,1.0,-0.75,1.75,1426,9:15,2.25,0.75,3.25,-0.5,-649,9:30,-0.5,0.75,-12.5,-12.0,55349,9:45,-12.5,-12.5,-6.75,-5.25,-7684,10:00,-5.0,-3.5,-2.5,0.75,-700,10:15,1.0,0.5,4.25,2,-20666,10:30,1.5,7.5,2.75,7,504,10:45,7.25,-2,-1,-5.25,-4699,11:00,-5.5,-3.5,-2.5,-5.25,-4453,11:15,-5.0,-4.75,-3.25,-1.0,449,11:30,-0.75,-3.75,-4.0,-3.25,5944,11:45,-3.5,0.75,2.5,2.25,-7591,71,L
12/16/2021,9:00,-1.5,-1.25,-2.5,-3.75,6624,9:15,-3.75,-0.75,-3.75,-1.25,-4544,9:30,-1.25,-1.25,-8.75,-12.75,55587,9:45,-12.75,-5.25,-2.0,-4.25,-3900,10:00,-4.0,-11.75,-10.25,-2,5221,10:15,-2.25,8.25,3.5,12,-20027,10:30,12.25,3.0,10.75,-5.75,-10318,10:45,-6.0,-2.5,0.25,3.25,-9895,11:00,3.25,-3.75,-15,-16.75,16599,11:15,-16.5,-8.0,2,7.25,-17424,11:30,7,-1.5,-1,-4.25,-5348,11:45,-4.5,-3,-4.75,-8.0,5112,-12,S
12/17/2021,9:00,0.75,1.0,-5.75,-8.75,7163,9:15,-8.25,-4.25,-2.0,0.75,2608,9:30,0.25,3.25,-17.0,-20.75,133238,9:45,-20.25,-5.5,-1.0,9.75,-26079,10:00,9.5,-14,-8.25,-18.0,-26941,10:15,-18.0,-10,-4.25,7.75,-22454,10:30,7.75,22,8.75,18.75,12610,10:45,19.0,23.5,23.5,20.25,-7604,11:00,20.0,7.5,14.0,13.25,-23951,11:15,13.25,-0.5,9.75,-5.5,-10757,11:30,-5.5,-4.5,-26.5,-28.25,12693,11:45,-28.25,-27.75,-6.5,1.25,-6120,-1,S
12/20/2021,9:00,1.25,4,3.75,6.25,715,9:15,6.25,1,1.25,-4.75,1524,9:30,-4.5,-0.5,-11.5,-1.75,144617,9:45,-2.0,-4.25,-17.0,-1.0,-39951,10:00,-1.0,-1.75,11.0,-12.25,-42312,10:15,-12.25,-4.0,-3.0,-5.0,-11645,10:30,-5.0,-6.5,-2.25,8.0,-14213,10:45,8.0,-0.75,-4,-12.25,-7965,11:00,-12.5,-11.0,-2,-4.0,-5066,11:15,-3.75,2.75,-1.25,2.5,1964,11:30,2.5,-2.75,-1.75,1.0,344,11:45,0.75,7.75,2,9.75,-1633,27,L
12/21/2021,9:00,2.0,-0.5,-1.0,-4.25,355,9:15,-4.25,-4.0,-1.5,-1.5,1312,9:30,-1.75,6.5,-5.25,-3.75,83787,9:45,-3.25,-12.0,-8.75,-8.5,-14068,10:00,-8.5,-2.25,1.5,6,-12191,10:15,6,7,-6.25,-11.5,3254,10:30,-11.5,-15,-3.0,3.0,-10644,10:45,3.0,3.5,2.25,3.25,-8831,11:00,3.25,11.0,6.5,11.75,-5643,11:15,11.75,-0.5,9,-3.25,-18916,11:30,-3.0,16.5,2.25,20.0,13706,11:45,20.0,0.5,12.75,-5.25,-14248,16,L
12/22/2021,9:00,3.0,7.75,1.5,5.5,3284,9:15,6.0,-0.25,4.75,1.75,-3569,9:30,1.75,8.5,2.75,8.5,47264,9:45,8.5,2.25,4.75,-2.25,-5465,10:00,-2,1.25,0.25,2.75,-4809,10:15,2.75,5.25,4.25,4.5,-3460,10:30,4.0,8.75,6.0,11.75,3660,10:45,12.0,8.75,11.75,8.0,-7626,11:00,8.0,2.25,4.5,3.75,-10882,11:15,3.75,-0.25,1.25,-1.75,-2934,11:30,-2.25,1.25,2.75,1.0,-3584,11:45,1.5,-1.25,-1.5,0.75,-2869,16.25,L
12/23/2021,9:00,3.75,2.5,4.0,0.5,984,9:15,0.75,-1.75,-1.0,-1.5,-302,9:30,-1.75,17.5,-0.75,15.25,61024,9:45,15.25,-2.75,11.0,-0.5,-20019,10:00,-0.5,4.25,2.75,5.25,-9226,10:15,5.5,0.0,4.25,-0.5,-10383,10:30,-0.5,0.75,-1.0,-0.5,-4492,10:45,-1,2.25,2.25,5.25,-2898,11:00,5.5,3.5,4.0,1.5,2778,11:15,1.75,-0.25,-1.25,-3.25,-5210,11:30,-3.25,-2.5,1.25,2.0,-6540,11:45,1.75,1.5,1.75,1.75,358,9.25,L
12/23/2021,9:00,3.75,2.5,4.0,0.5,984,9:15,0.75,-1.75,-1.0,-1.5,-302,9:30,-1.75,17.5,-0.75,15.25,61024,9:45,15.25,-2.75,11.0,-0.5,-20019,10:00,-0.5,4.25,2.75,5.25,-9226,10:15,5.5,0.0,4.25,-0.5,-10383,10:30,-0.5,0.75,-1.0,-0.5,-4492,10:45,-1,2.25,2.25,5.25,-2898,11:00,5.5,3.5,4.0,1.5,2778,11:15,1.75,-0.25,-1.25,-3.25,-5210,11:30,-3.25,-2.5,1.25,2.0,-6540,11:45,1.75,1.5,1.75,1.75,358,9.25,L
